,Num,Ra,Dec,Redshift,Eiso,Liso,Epeak,Duration,Gamma0(H),Gamma0(W),Phflux(15-150),alfa,beta,PhFlux(10-1000)
0,1,211.334,71.0714,2.358772768511704,3.873159653515282e+53,3.471492723836778e+52,602.7633627383809,108.845,153.14700000000002,96.23899999999999,3.37,-1.13,-2.38,4.82
1,2,82.4082,-23.5267,1.1315616894129692,1.6846405888476657e+53,1.130565400701167e+52,396.02827173070483,88.762,424.473,165.292,6.917999999999999,-1.0490000000000002,-2.509,9.83
2,3,92.1914,35.9299,2.0233894525598535,5.1813729209073296e+53,1.973927409145068e+52,560.3323654647114,259.619,362.259,179.34400000000002,2.714,-0.955,-2.4730000000000003,3.8360000000000003
3,4,11.89,42.4303,2.852916924793006,7.321879895560749e+52,3.1950906444101406e+52,278.8003723208934,22.905,253.767,102.09299999999999,3.175,-0.93,-2.438,4.337
4,5,105.1957,-14.9235,2.9445181215636915,1.5472943998463911e+53,4.593978971509826e+52,568.0004762018825,53.856,220.795,105.40299999999999,3.4389999999999996,-1.002,-2.6889999999999996,4.748
5,6,338.7227,-12.3636,0.8373842174037569,7.726597513998363e+52,4.479612265972217e+51,228.15938459756538,105.777,337.717,124.633,6.789,-1.117,-2.38,9.508
6,7,10.816,-19.788,0.4208242251896851,3.67653802610505e+53,1.1591419414537914e+52,684.5316414261189,111.891,150.342,94.238,38.157,-1.041,-2.481,60.663000000000004
7,8,18.2172,21.3943,1.0911406403522568,1.6047447277064757e+52,2.514824786847821e+51,104.79129085930134,31.805,216.40400000000002,71.28699999999999,3.1239999999999997,-1.06,-2.519,4.422
8,9,104.3851,77.6024,1.8023024054804917,1.63054753298458e+52,1.466620294701282e+52,532.1715382854416,6.607,262.475,81.292,2.7760000000000002,-0.977,-2.5469999999999997,3.932
9,10,330.3472,-42.4396,1.130857071364778,4.018138645843344e+53,5.4040356956797056e+51,339.2832550943368,555.246,480.135,207.418,3.5039999999999996,-0.879,-2.532,4.843999999999999
10,11,295.786,19.3188,1.9482079550103089,6.422601539656991e+51,2.4755501347931365e+52,462.5037723976045,1.788,68.012,28.288,4.262,-0.9470000000000001,-2.503,5.919
11,12,286.6209,-20.4838,1.288573870870492,2.0817902984938752e+53,2.379591286300039e+52,782.127317410215,68.81,150.265,85.686,6.687,-1.06,-2.457,10.16
12,13,270.2286,-51.4988,1.264750507230786,3.209685177481819e+52,2.9450790571601143e+52,272.0776665888272,7.127000000000001,181.78599999999997,71.23899999999999,18.285999999999998,-0.982,-2.57,25.0
13,14,100.393,29.3486,1.9606056203369968,1.925735627926648e+53,2.787581063811501e+52,744.9044664384863,58.973,568.5509999999999,205.37400000000002,3.403,-0.9540000000000001,-2.535,4.987
14,15,237.6408,35.5651,2.3170180342941107,9.334198651139663e+53,3.0704270085388266e+52,496.14287700797684,278.228,438.49,224.69099999999997,3.747,-1.1179999999999999,-2.504,5.274
15,16,180.1812,26.3848,1.602005018547586,1.6933957528827617e+53,9.8392883227357e+51,208.0170139289084,156.33100000000002,187.38299999999998,95.914,4.145,-1.275,-2.603,5.879
16,17,69.9044,0.4306,0.4591062100059713,8.173679037395458e+52,5.158035838295731e+52,853.3053406001032,4.433,103.39200000000001,57.147,115.876,-1.011,-2.521,190.146
17,18,168.7639,42.4571,1.6263516159876923,2.3285578914743826e+53,1.5220895827012605e+52,312.04421096760495,121.959,487.10699999999997,191.21900000000002,5.003,-1.044,-2.5180000000000002,6.901
18,19,313.4435,-36.2576,1.3016745522253566,1.1680678189996577e+52,2.8243834373676964e+52,149.91098679158762,2.408,88.09299999999999,37.137,21.748,-0.992,-2.562,29.906
19,20,150.9431,-14.6208,3.5510855414982023,2.6753966491249064e+54,6.002124777622975e+53,1746.1769413748575,75.111,194.987,156.016,12.169,-0.9129999999999999,-2.5860000000000003,19.083
20,21,322.2883,-0.25,0.8365703822540257,6.582875370126264e+51,3.2128852691968923e+51,182.0757077657445,11.793,137.77200000000002,45.475,5.176,-0.99,-2.342,7.115
21,22,81.7187,3.5222,1.2675201856956442,2.8409120983292133e+52,1.0735642505966973e+52,384.73854635567847,23.875999999999998,355.82300000000004,109.228,5.341,-1.0759999999999998,-2.521,7.547000000000001
22,23,281.9817,-12.0959,2.0512055102240674,1.1711961178709345e+53,2.894510566504633e+52,962.5085397720247,36.924,129.83700000000002,70.627,3.062,-1.147,-2.546,4.595
23,24,142.2407,-21.5347,3.29884227988322,1.0234302295013822e+53,9.377313490896011e+52,849.9665169013263,14.199000000000002,348.70099999999996,133.42700000000002,3.5210000000000004,-0.847,-2.455,4.999
24,25,206.7305,47.5763,1.3421289854456198,1.8637511064107067e+53,1.0850771314137833e+52,661.8231360522805,112.932,215.014,106.818,3.201,-1.02,-2.521,4.756
25,26,351.7934,-39.6616,0.3690442491744078,7.618882546839095e+50,3.6706572410990083e+50,54.108139250142614,10.022,158.37,34.836,6.278,-0.9259999999999999,-2.4130000000000003,9.019
26,27,60.1915,-23.1039,2.790780867215596,1.2059453813315134e+53,8.509353396757243e+52,728.9842243289171,14.437000000000001,800.712,238.674,4.94,-0.9520000000000001,-2.4,7.023
27,28,334.4391,3.3339,1.934654880872429,1.2159712944635416e+54,1.1475678153514681e+53,1173.3866385808785,103.115,498.287,255.706,10.347000000000001,-1.023,-2.496,16.1
28,29,275.1266,-49.4914,1.3723324694936667,7.092043955743295e+52,6.23633275520081e+51,182.48364309774516,76.15,269.918,105.816,3.9210000000000003,-0.9670000000000001,-2.549,5.337999999999999
29,30,116.0437,-15.5026,1.236326598838337,2.7630357764516854e+53,3.238873485314379e+52,688.6999426838495,50.33,566.227,217.516,11.622,-1.081,-2.553,17.419
30,31,144.5563,-35.0896,1.7400711091481271,1.0324329745958345e+53,2.267578880227256e+53,629.522332149671,2.32,524.243,175.361,39.079,-0.966,-2.4859999999999998,56.628
31,32,160.3707,39.2085,2.830574336683556,1.3650028204160752e+56,1.1727783847894797e+55,25186.99473560867,124.929,666.794,681.9989999999999,44.316,-1.0390000000000001,-2.414,84.464
32,33,255.414,-31.6994,0.5165654332858964,6.753572924667861e+51,1.1618291863561825e+51,70.66757053140459,45.688,110.11200000000001,39.332,8.427999999999999,-1.0979999999999999,-2.419,12.124
33,34,307.9369,-28.2602,2.1828974910560928,3.6801457783879195e+52,1.7518775695747824e+52,334.85745004555963,26.886999999999997,362.52,115.469,3.0789999999999997,-0.904,-2.591,4.147
34,35,25.3093,-23.7438,1.0990967820630997,5.159761022433311e+50,5.085106298042234e+51,51.9316943363843,0.527,251.545,44.441,7.02,-0.985,-2.6,10.887
35,36,322.8226,0.4144,1.4641206538874512,1.535773987314226e+53,2.7926068823930687e+52,246.4990852554377,34.346,118.719,69.609,12.86,-1.02,-2.503,17.607
36,37,167.653,-32.3657,1.5872944429892983,2.1315372116903574e+53,1.5565831562864997e+53,671.7944374084947,12.382,216.31900000000002,109.676,29.774,-0.917,-2.494,43.891000000000005
37,38,157.5389,-36.688,4.080795930859772,6.817416312042193e+53,2.2644010735441912e+53,1940.1110549117407,30.430999999999997,341.67,180.554,4.187,-1.198,-2.5469999999999997,6.388999999999999
38,39,153.5579,-41.3744,1.340275208982788,3.499075760017612e+52,4.623325374811228e+51,70.34596831250269,74.694,214.83599999999998,80.785,3.575,-1.1179999999999999,-2.502,5.416
39,40,257.1512,-16.6282,3.3605952333235343,2.3033004825758657e+52,4.814487955296542e+52,235.91531281234987,5.68,97.406,44.468,3.465,-0.995,-2.405,4.864
40,41,57.3088,67.8333,3.8676592805516687,4.2791908832622853e+54,6.128828042278167e+53,2485.8052823095754,128.656,267.297,208.204,7.848,-0.973,-2.456,12.752
41,42,75.0521,10.942,5.840422458717759,7.896938596933491e+53,2.3172943963265083e+53,945.1732673385617,59.896,166.468,114.568,3.195,-0.825,-2.5789999999999997,4.336
42,43,33.7014,-9.2438,1.4151575209167553,4.1568657854237235e+52,2.050021015866971e+52,216.5514588237347,18.421,267.812,96.29700000000001,11.718,-0.987,-2.639,15.905
43,44,169.6227,32.1695,1.7933927479710283,1.0421662141912751e+53,4.467838127873249e+52,515.5591704914932,18.123,539.2280000000001,178.96599999999998,8.399,-1.022,-2.4530000000000003,11.923
44,45,348.2745,-59.6356,0.4665673958579013,2.0721176677267144e+52,2.2119143115934128e+51,205.6422948394247,37.109,125.37899999999999,51.699,13.669,-0.8440000000000001,-2.545,18.624000000000002
45,46,295.9097,-40.5205,1.2628698281684574,3.2919024807989266e+53,7.249038026458704e+52,743.701513843999,20.69,118.33200000000001,78.87,23.028000000000002,-0.996,-2.6519999999999997,34.923
46,47,193.17,-29.3521,2.5847253466604063,1.0585688475807664e+53,2.393902955355049e+52,272.0635272935484,40.065,152.285,77.237,3.29,-0.993,-2.593,4.489
47,48,305.4381,-2.9671,1.465841062125706,3.3946544990757046e+53,2.7511072323320334e+52,752.3577074607534,96.448,110.083,75.546,6.351,-1.012,-2.5989999999999998,9.529
48,49,144.6271,28.1477,1.125788666678909,8.321083802118736e+51,7.252288973870924e+51,48.28782682284741,9.556000000000001,266.639,73.437,9.399,-0.978,-2.62,14.852
49,50,150.2165,40.2673,1.3809736669921229,2.2190330664231417e+52,2.3600610479116483e+52,214.25203883254048,7.252999999999999,417.01300000000003,116.51799999999999,12.795,-0.898,-2.467,17.294
50,51,335.2201,25.0499,1.292494748175538,6.168814902406914e+53,1.094886842373748e+53,607.3377177402128,34.234,283.676,156.861,37.611999999999995,-0.9570000000000001,-2.622,55.424
51,52,258.4302,12.9828,1.7133269328757628,9.159405894465423e+53,6.496830854727189e+52,662.5214087621735,81.064,485.274,239.645,11.470999999999998,-0.898,-2.623,16.730999999999998
52,53,328.2546,-2.3736,2.2659165885321197,1.8215810561346247e+53,3.279038088138465e+52,807.2181929844847,65.804,442.892,172.269,2.71,-0.968,-2.438,3.969
53,54,318.5476,-8.0911,0.8289822905529887,3.2906978418060774e+53,1.3725886292598031e+53,1174.1084223354985,14.543,147.838,91.48299999999999,64.048,-0.998,-2.443,106.839
54,55,92.4948,53.3513,2.0768405526818015,8.521708603983942e+53,2.5651441413809365e+53,1119.8965671297142,26.357,119.398,92.97200000000001,21.874000000000002,-1.045,-2.537,33.505
55,56,146.6896,44.2773,1.3921553760907033,4.5326196259520955e+52,1.7691744718667862e+52,292.9386007030421,16.434,92.88799999999999,48.228,8.582,-1.113,-2.543,11.944
56,57,69.0002,9.7521,1.401659486585199,3.596089381517202e+53,6.84834185577793e+51,232.63529604581487,368.85699999999997,220.695,121.274,3.392,-1.133,-2.426,4.732
57,58,169.0804,55.245,1.3940393199491372,2.4920084138357195e+52,2.7785812121874957e+53,206.37358567866153,0.637,264.235,87.637,148.046,-0.885,-2.449,200.032
58,59,3.1059,1.2676,1.4914389167004465,5.657405253925318e+52,8.968697710662919e+51,400.33656041816397,35.57,132.381,63.375,2.972,-0.998,-2.499,4.155
59,60,50.7485,-1.1661,0.1781923085817055,1.6814044912576114e+51,1.5150670126705436e+50,25.93367503302993,37.001999999999995,354.542,68.023,13.015,-1.01,-2.375,20.651
60,61,2.1359,27.6468,3.704863047721489,1.0659830743382354e+53,4.060286558601398e+52,250.57149918454118,34.72,116.35,64.625,2.682,-0.804,-2.5669999999999997,3.662
61,62,262.7738,-67.7676,1.6917971066711657,2.599851731133531e+53,2.1745245900057083e+52,444.3276291720208,129.35299999999998,652.509,236.673,5.088,-0.94,-2.497,7.096
62,63,193.8182,-58.284,3.957526487926256,2.1165668509859297e+52,7.897707879735266e+52,545.0757636998121,6.171,244.71599999999998,81.03,2.935,-0.9790000000000001,-2.435,4.02
63,64,263.138,22.9446,2.129506669513904,1.4922292474755742e+53,4.0925012669049275e+52,761.5337900242379,40.186,802.467,247.66099999999997,4.041,-0.976,-2.452,5.904
64,65,43.1459,-5.5073,1.1113076604081136,1.8653789937101e+52,2.2393673000955321e+52,118.26091472582628,5.689,188.013,66.556,25.924,-0.8909999999999999,-2.4930000000000003,35.709
65,66,73.512,-58.6171,1.0722781575160956,5.724169814050219e+52,3.690356801559288e+52,563.526626265225,6.506,153.181,69.988,18.761,-1.052,-2.419,27.768
