event, 	site, 	night,  time_from_obs_start, 	integration_time, 	sigma
Event751, North, night01,18296.951774060726,30.0, 1.421875723268028
Event751, North, night01,18301.951774060726,35.0, 0.9658281835932209
Event751, North, night01,18306.951774060726,40.0, 0.324701725244873
Event751, North, night01,18311.951774060726,45.0, 0.40495912212865637
Event751, North, night01,18316.951774060726,50.0, 0.3591046477913133
Event751, North, night01,18321.951774060726,55.0, 0.1599348379177648
Event751, North, night01,18326.951774060726,60.0, 0.0
Event751, North, night01,18331.951774060726,65.0, 0.18861091488422538
Event751, North, night01,18336.951774060726,70.0, 0.1005718832105684
Event751, North, night01,18341.951774060726,75.0, 0.07806720525426919
Event751, North, night01,18346.951774060726,80.0, 0.01894451593759877
Event751, North, night01,18351.951774060726,85.0, 0.10939911794972135
Event751, North, night01,18356.951774060726,90.0, 0.017722959362118505
Event751, North, night01,18361.951774060726,95.0, 0.1033871097310703
Event751, North, night01,18366.951774060726,100.0, 0.06766398988342438
Event751, North, night01,18371.951774060726,105.0, 0.1996141410542043
Event751, North, night01,18376.951774060726,110.0, 0.06545374465825526
Event751, North, night01,18381.951774060726,115.0, 0.09692580529655079
Event751, North, night01,18386.951774060726,120.0, 0.20769868107095116
Event751, North, night01,18391.951774060726,125.0, 0.1726293322659099
Event751, North, night01,18396.951774060726,130.0, 0.4884353392987433

-------------------------------------------------------------------------------------------------------------------------------------------

Event751, North, night01,18296.951774060726,30.0, 1.1295523730395574
Event751, North, night01,18306.951774060726,40.0, 0.4649433829463567
Event751, North, night01,18316.951774060726,50.0, 0.7651883641929417
Event751, North, night01,18326.951774060726,60.0, 0.04140987587335863
Event751, North, night01,18336.951774060726,70.0, 0.1966234765404042
Event751, North, night01,18346.951774060726,80.0, 0.2021978055580481
Event751, North, night01,18356.951774060726,90.0, 0.05183987920064171
Event751, North, night01,18366.951774060726,100.0, 0.23209320294189376
Event751, North, night01,18376.951774060726,110.0, 0.678910641377257
Event751, North, night01,18386.951774060726,120.0, 0.8022417952535501
Event751, North, night01,18396.951774060726,130.0, 1.1236966791216272
Event751, North, night01,18406.951774060726,140.0, 0.8920577357530476
Event751, North, night01,18416.951774060726,150.0, 0.9961349425338821
Event751, North, night01,18426.951774060726,160.0, 0.6888001266244524
Event751, North, night01,18436.951774060726,170.0, 1.0105436623103523
Event751, North, night01,18446.951774060726,180.0, 0.8590399058256771
Event751, North, night01,18456.951774060726,190.0, 0.7913468554928951
Event751, North, night01,18466.951774060726,200.0, 0.7391615463989699
Event751, North, night01,18476.951774060726,210.0, 0.870272260372024
Event751, North, night01,18486.951774060726,220.0, 0.5222501766433486
Event751, North, night01,18496.951774060726,230.0, 0.8496936540264118
Event751, North, night01,18506.951774060726,240.0, 1.102396761064944
Event751, North, night01,18516.951774060726,250.0, 0.8269578100808975
Event751, North, night01,18526.951774060726,260.0, 0.8104247566324869
Event751, North, night01,18536.951774060726,270.0, 1.1783561013351975

-------------------------------------------------------------------------------------------------------------------------------------------
Event751, North, night01,18296.951774060726,30.0, 0.0
Event751, North, night01,18306.951774060726,40.0, 0.3016047403645491
Event751, North, night01,18316.951774060726,50.0, 0.1480708875981325
Event751, North, night01,18326.951774060726,60.0, 0.022284674847928267
Event751, North, night01,18336.951774060726,70.0, 0.2472311977916454
Event751, North, night01,18346.951774060726,80.0, 0.23026272648840584
Event751, North, night01,18356.951774060726,90.0, 0.03647030347085834
Event751, North, night01,18366.951774060726,100.0, 0.01709048134510316
Event751, North, night01,18376.951774060726,110.0, 0.03302591919384353
Event751, North, night01,18386.951774060726,120.0, 0.19255074915930034
Event751, North, night01,18396.951774060726,130.0, 0.15473452964155957
Event751, North, night01,18406.951774060726,140.0, 0.3027810434547376
Event751, North, night01,18416.951774060726,150.0, 0.3381815306321483
Event751, North, night01,18426.951774060726,160.0, 0.24095745556278
Event751, North, night01,18436.951774060726,170.0, 0.4428103963137879
Event751, North, night01,18446.951774060726,180.0, 0.5503902384234555
